item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45,item46,item47,item48,item49,item50,item51,item52,item53,item54,item55,item56,item57
36,C,C,D,C,D,C,A,B,A,A,B,C,B,B,C,C,D,A,D,C,D,A,D,C,B,A,A,D,C,A,B,C,A,C,D,D,C,B,B,A,A,B,C,D,B,C,D,B,D,D,C,C,A,B,A,D,A
37,A,D,D,C,D,D,D,C,A,C,C,B,D,D,B,B,B,B,A,B,D,A,B,C,B,C,D,D,C,C,A,D,C,D,D,B,A,D,B,A,D,C,B,D,B,D,D,A,A,D,D,B,A,D,A,D,D
38,D,C,B,A,B,A,A,C,A,B,C,B,D,D,D,B,C,A,D,C,B,B,C,D,B,C,A,B,C,C,A,C,A,B,B,C,C,A,B,D,C,A,A,A,B,B,C,C,B,A,B,C,B,B,B,A,C
39,D,C,D,B,D,D,C,B,C,C,C,A,D,D,A,B,C,B,C,C,D,A,A,D,A,A,D,C,A,A,D,A,C,B,C,D,D,A,C,B,C,B,D,D,B,B,D,B,C,A,A,C,A,B,B,B,D
40,A,C,A,B,B,B,B,D,D,C,A,B,D,D,A,A,D,C,C,C,D,D,A,C,A,C,B,C,C,C,D,B,C,D,B,B,C,D,A,B,D,C,A,A,A,D,A,D,B,B,D,C,B,D,A,D,B
41,D,D,B,C,D,A,A,A,D,D,D,D,C,B,A,B,A,B,A,A,C,A,A,C,D,D,A,C,C,C,A,B,A,C,B,B,A,A,C,D,A,D,D,C,A,C,A,A,A,A,B,A,B,D,C,C,C
42,B,B,D,D,B,A,C,C,D,D,C,B,D,D,D,A,B,A,D,C,B,A,B,D,D,D,A,B,C,C,B,D,B,D,A,C,D,C,D,C,B,A,B,C,A,A,D,D,D,B,D,C,C,D,B,D,D
43,D,A,A,B,A,C,C,A,B,B,A,A,C,B,C,B,C,D,C,D,D,B,C,B,B,C,A,C,C,C,C,A,C,D,C,C,A,D,D,C,C,B,C,B,A,A,D,A,D,D,D,D,C,C,A,D,A
44,C,A,A,D,A,A,A,C,A,D,B,C,D,A,A,B,A,B,D,C,B,B,C,A,C,B,D,C,D,D,A,C,B,A,A,A,A,D,A,A,A,C,B,A,C,B,C,A,D,C,B,A,C,D,C,B,C
45,C,B,A,D,A,C,C,A,C,C,D,B,D,B,C,A,D,D,C,A,C,A,A,C,A,C,C,D,D,D,A,B,C,D,B,B,D,C,A,C,C,A,C,B,B,D,D,D,C,B,C,B,C,C,C,C,B
46,B,D,B,D,D,C,D,D,D,D,B,A,D,D,B,A,B,D,A,B,C,B,D,C,D,A,D,A,D,C,D,D,B,C,B,B,C,D,C,B,D,D,D,A,B,D,A,B,A,A,C,D,A,B,C,C,B
47,B,C,D,B,B,A,C,A,D,A,B,C,C,C,A,C,D,A,C,D,B,A,C,D,B,B,A,B,A,C,D,D,A,A,A,C,C,B,B,D,D,D,A,D,C,B,C,C,A,C,C,B,A,C,B,B,C
48,D,A,A,B,C,A,D,A,A,B,D,A,B,D,C,A,A,B,A,B,D,C,B,D,B,B,D,B,D,D,A,B,A,C,C,C,A,D,C,B,D,C,A,B,D,C,A,A,C,A,C,D,A,A,C,B,A
49,B,B,C,B,B,B,A,C,B,C,B,D,B,B,A,C,A,A,A,C,C,C,A,A,B,D,A,D,C,B,A,D,B,B,D,A,B,A,D,A,B,A,C,A,C,D,A,B,A,B,D,C,D,B,A,A,D
50,D,D,B,B,A,B,D,D,C,A,B,D,A,D,C,B,C,A,C,B,B,A,B,A,A,B,B,B,B,D,C,B,C,C,C,C,D,A,D,D,C,C,D,A,D,B,C,C,D,D,A,C,A,B,C,D,A
51,A,C,B,B,A,A,A,A,D,C,A,C,A,A,B,D,B,D,A,B,C,B,C,B,B,A,C,A,B,C,C,B,B,A,B,B,A,A,A,C,C,C,B,A,C,D,D,D,C,D,A,C,A,B,B,A,D
52,A,B,D,A,A,C,A,C,B,B,B,A,B,C,D,B,B,A,B,D,B,A,C,C,C,A,B,A,A,C,C,B,D,B,B,D,D,A,D,B,C,B,A,D,D,A,B,A,C,B,A,B,D,A,D,B,B
53,A,A,C,B,B,A,A,A,D,B,C,A,B,A,D,B,D,A,A,A,A,C,B,B,D,D,D,B,C,B,D,C,D,B,B,B,B,C,D,A,D,C,B,D,C,C,A,A,A,A,A,D,B,D,D,A,C
54,D,D,C,D,B,D,D,D,C,D,B,A,A,D,D,A,D,D,B,C,A,A,A,A,D,B,C,C,D,B,A,B,C,D,A,C,A,D,A,B,D,C,D,A,C,A,A,D,A,B,A,D,D,C,C,A,C
55,B,A,C,B,D,A,A,A,B,C,B,A,B,C,D,D,C,B,B,D,B,A,A,A,C,D,A,D,D,B,C,A,A,A,A,C,C,B,D,B,A,D,C,D,C,D,C,C,C,B,D,C,D,D,C,C,C
56,C,C,B,C,A,B,B,C,C,C,C,A,D,C,C,A,D,B,C,D,C,A,A,D,A,D,C,B,C,B,C,B,A,B,A,D,D,A,C,B,A,D,B,D,B,B,D,A,A,D,A,C,D,C,D,A,A
57,D,A,A,A,A,D,A,C,D,A,A,B,D,A,B,B,B,B,D,B,D,C,C,A,C,C,C,C,A,C,A,C,A,A,B,A,A,B,B,B,A,D,A,D,A,B,B,B,A,C,D,D,D,D,A,A,C
58,B,A,C,A,D,D,B,D,A,D,A,C,B,C,A,B,D,D,A,A,A,B,B,B,B,B,C,D,B,A,D,D,A,A,C,D,D,A,A,D,B,D,B,D,A,B,B,B,D,C,A,A,A,D,D,A,B
59,A,D,B,D,A,B,D,D,C,D,B,D,B,A,C,D,D,B,A,D,A,A,B,B,D,D,D,A,A,B,C,D,A,B,D,B,A,A,D,A,C,D,D,C,C,A,D,D,B,D,C,C,B,B,C,A,C
60,C,A,D,D,D,B,B,A,A,C,C,A,A,C,B,C,D,A,D,A,B,C,B,C,B,C,B,D,A,C,B,A,B,C,A,A,D,A,A,C,A,A,C,C,A,B,A,A,C,D,B,C,A,D,D,A,A
61,A,A,A,B,C,C,C,B,B,D,D,B,C,B,B,A,C,C,A,A,B,D,B,D,A,A,A,B,A,B,D,B,B,B,A,D,D,C,D,B,D,C,B,C,C,D,C,C,D,B,B,C,A,B,D,A,B
62,A,A,C,A,B,A,A,A,C,D,B,B,C,D,A,A,D,C,C,C,A,D,A,B,B,A,C,B,A,B,D,B,D,C,B,A,B,C,C,D,B,A,C,D,C,A,C,B,C,A,D,D,B,B,B,A,A
63,A,D,D,D,B,D,D,D,C,A,A,A,D,C,C,B,D,D,D,A,A,B,A,C,D,D,D,C,D,A,A,B,D,C,A,C,B,B,C,C,A,A,B,A,A,A,B,A,A,B,A,D,D,D,D,B,D
64,A,A,B,C,D,D,A,D,A,C,B,A,A,A,D,A,B,A,B,B,C,A,A,C,B,D,C,B,C,D,A,D,C,C,A,C,A,C,C,A,D,D,D,D,C,C,B,A,B,C,C,A,A,C,D,C,C
65,A,A,B,B,A,B,D,A,B,B,C,B,D,B,C,D,A,B,D,C,A,A,B,A,D,D,C,B,B,B,C,D,B,B,B,A,B,B,A,D,D,B,B,B,A,C,C,B,D,A,C,C,A,D,B,D,C
66,A,D,B,B,A,C,D,D,D,D,A,A,D,C,C,B,B,B,A,C,D,A,C,B,B,A,D,D,B,D,C,C,B,C,B,D,D,D,C,D,D,D,A,C,C,D,D,C,D,B,D,A,B,D,C,D,A
67,B,A,A,A,B,D,B,C,D,C,A,D,A,D,C,B,A,A,C,B,A,B,A,C,A,B,D,A,C,C,A,C,B,D,B,B,A,D,C,B,D,D,B,C,C,B,B,D,B,C,A,B,B,C,C,B,C
68,B,C,C,B,B,B,B,C,D,B,D,D,A,C,C,D,D,D,A,B,B,C,B,B,B,C,A,A,A,A,A,C,A,B,C,A,C,D,A,B,B,C,B,B,C,A,D,B,C,A,B,C,D,B,B,A,D
69,B,C,A,A,C,B,A,C,A,B,A,C,A,A,A,A,A,C,B,B,D,C,A,A,A,C,B,B,D,A,A,A,C,B,D,D,D,D,B,D,C,C,A,D,A,D,D,B,B,A,B,A,C,B,C,A,D
70,B,A,D,D,A,C,B,C,D,D,C,A,C,B,B,A,A,D,B,B,D,D,A,D,B,C,B,B,A,C,C,B,D,C,D,B,D,B,C,D,A,B,D,A,A,C,A,C,D,A,B,D,D,C,C,C,A
71,B,C,C,A,C,D,C,C,D,C,C,D,A,B,C,C,D,B,A,B,C,A,A,D,A,C,B,A,D,C,C,D,C,A,D,B,C,B,A,A,C,A,C,D,D,C,A,A,D,B,B,D,D,D,B,A,C
72,C,B,D,A,C,A,B,D,D,C,D,D,C,B,D,A,A,D,D,A,C,C,A,B,C,A,C,B,A,C,A,A,A,C,A,D,B,B,C,A,D,B,C,B,D,C,B,A,C,C,C,B,D,A,D,D,A
73,D,A,A,A,B,D,C,A,B,B,C,B,A,A,A,A,A,C,C,A,B,B,C,D,B,C,D,B,B,A,D,B,C,C,C,C,D,A,C,A,C,D,A,C,D,C,A,B,D,B,C,B,B,A,A,A,C
74,A,C,C,C,D,D,A,D,C,A,B,D,C,C,A,B,D,A,C,D,C,B,D,D,D,C,B,D,C,B,D,B,B,D,B,C,B,D,A,D,D,B,C,B,D,D,A,D,D,D,D,A,C,C,B,B,C
75,A,C,B,D,A,C,C,D,C,B,A,C,B,A,C,C,C,C,C,A,A,C,D,D,B,C,A,C,D,D,C,C,A,B,A,D,A,B,A,D,B,C,D,C,A,A,C,A,C,B,B,D,A,B,B,A,A
76,C,A,B,A,C,C,A,C,A,B,A,A,A,D,A,D,B,C,B,B,B,C,A,A,A,B,C,C,B,C,C,A,B,D,D,C,D,C,D,B,C,D,C,A,C,A,C,D,C,C,C,D,A,D,A,A,D
77,B,D,A,D,A,C,D,B,D,D,B,A,A,B,D,B,C,C,D,C,C,C,D,C,D,B,B,B,D,D,D,B,C,D,A,B,A,A,A,B,D,B,D,C,D,D,D,D,D,B,A,C,B,C,A,A,A
78,C,B,C,B,C,B,D,B,A,C,C,D,C,A,A,A,C,A,A,A,C,C,B,B,B,B,B,A,B,A,C,C,A,B,D,D,D,C,D,B,D,D,A,C,D,D,C,B,A,D,D,A,A,A,A,B,A
79,B,D,B,C,B,A,B,C,D,D,B,B,C,C,C,A,B,C,A,B,D,B,B,D,A,A,D,D,D,C,A,C,B,C,C,B,D,C,D,D,D,A,C,B,C,A,B,A,B,C,A,D,B,D,B,A,A
80,A,C,A,A,A,C,C,C,D,C,B,C,B,A,D,A,C,D,C,C,A,C,D,C,A,C,C,D,A,D,D,B,B,A,A,D,B,C,B,D,A,C,D,C,A,C,C,A,A,A,A,D,D,A,C,A,D
81,C,C,D,C,D,B,C,A,B,D,D,B,D,C,C,D,A,C,D,B,D,B,C,D,C,B,C,D,D,A,C,D,D,C,B,B,B,A,A,A,C,B,D,B,D,A,C,D,A,D,C,D,A,C,C,C,A
82,C,B,A,A,A,C,B,C,A,C,D,A,C,D,A,A,C,C,D,C,D,D,D,B,C,D,C,D,A,B,D,D,B,D,A,C,D,B,D,C,C,D,A,C,D,D,B,A,D,A,C,D,B,B,B,D,D
83,A,B,B,C,B,C,D,D,B,D,B,B,B,A,D,B,A,A,A,A,B,C,D,B,B,D,C,D,D,C,C,D,C,B,B,D,D,D,C,C,D,D,A,B,C,A,A,B,A,A,C,C,D,A,D,C,D
84,C,A,C,A,B,A,B,A,B,B,C,C,D,C,C,C,C,A,A,A,D,C,D,B,D,C,A,B,A,C,C,C,D,A,C,C,B,A,A,A,D,A,D,B,A,A,D,A,D,D,C,C,A,D,A,D,B
85,A,C,A,C,D,A,C,C,A,A,C,A,D,B,A,D,C,C,A,D,B,D,B,D,B,C,D,C,A,C,A,C,C,D,D,B,B,B,D,D,A,C,D,A,B,A,C,B,C,D,B,B,B,B,A,C,B
86,B,D,C,C,D,A,A,B,A,D,A,C,B,C,B,B,C,D,C,A,D,A,B,D,C,A,D,D,D,D,C,A,A,C,D,B,D,C,C,B,A,A,D,A,D,A,B,C,C,A,A,A,B,D,B,A,A
87,A,A,D,C,D,D,B,B,B,A,A,C,C,B,D,B,A,B,B,A,C,B,C,C,A,C,B,D,D,C,A,D,B,B,D,D,A,C,C,D,C,D,D,A,B,D,D,B,D,B,B,C,B,A,C,D,D
88,B,B,D,B,B,A,A,C,C,D,A,C,D,B,C,A,D,D,C,B,B,D,D,D,B,A,B,A,A,A,D,D,D,C,C,B,D,D,B,A,B,C,D,C,B,C,A,C,B,D,D,B,A,C,C,B,A
89,C,C,D,A,B,A,B,C,D,D,A,C,D,C,C,C,A,B,C,D,A,D,C,B,B,C,D,C,C,C,A,A,D,D,B,A,B,B,A,C,C,B,A,C,D,D,B,A,B,A,A,D,A,C,B,D,D
90,C,D,A,A,D,C,A,C,D,C,D,D,D,A,A,D,C,B,A,C,C,D,B,A,C,D,A,D,C,B,B,D,C,C,A,B,D,D,C,B,C,B,A,B,D,D,B,A,B,B,A,D,D,D,A,A,D
91,A,C,D,C,D,D,D,A,C,C,C,C,B,D,A,D,A,B,D,A,B,C,C,A,C,C,C,A,B,D,B,B,C,D,C,C,A,B,A,D,C,A,B,C,C,C,A,B,D,D,D,B,D,A,C,B,A
92,D,D,D,A,A,C,D,A,C,B,C,A,A,D,B,B,C,C,B,C,D,B,D,D,C,C,A,D,B,A,B,C,C,D,D,B,B,B,B,A,A,A,D,C,B,B,D,B,D,A,C,D,B,B,D,B,A
93,C,B,D,A,A,A,A,C,B,C,B,B,C,B,C,C,C,A,C,C,D,B,C,A,C,A,C,B,D,C,D,C,C,D,D,D,A,D,C,D,C,B,B,A,D,A,A,C,C,A,C,A,B,B,C,A,C
94,D,B,D,D,C,B,C,B,A,A,B,B,B,B,D,A,A,B,A,C,A,D,A,B,B,C,C,A,A,C,A,B,B,A,D,D,C,A,B,C,B,B,C,D,A,B,D,D,A,C,A,D,C,A,C,A,C
95,A,B,D,A,A,C,C,C,A,A,C,D,C,C,A,B,D,D,C,A,A,C,A,A,C,B,C,A,B,A,B,C,B,C,D,D,A,C,B,A,A,D,C,A,A,B,B,C,D,D,D,A,C,A,B,B,C
96,D,C,D,C,A,D,A,B,B,B,B,A,C,D,C,B,D,B,D,A,D,A,A,C,B,C,A,C,C,B,A,C,D,D,A,D,C,D,D,D,A,C,C,B,D,C,A,B,D,C,C,A,D,A,C,D,D
97,D,A,D,C,B,C,D,B,C,D,B,C,D,B,D,A,C,C,B,A,B,D,D,C,A,D,C,B,C,D,D,B,D,A,B,B,D,B,A,C,B,D,C,C,B,C,D,C,D,C,D,C,D,D,D,C,C
98,C,B,B,B,B,D,A,B,C,D,C,A,D,D,A,C,D,C,A,A,B,C,C,D,A,D,A,D,C,A,D,D,D,A,D,C,D,B,A,D,C,B,C,B,C,A,A,B,B,A,D,C,C,B,B,D,B
99,D,B,B,B,C,B,C,C,A,D,C,B,D,B,A,D,D,A,C,A,B,B,C,A,D,B,B,D,B,C,B,C,B,C,A,B,D,A,D,B,A,C,C,A,C,A,B,B,C,A,B,A,B,D,C,D,D
100,A,D,D,C,B,C,B,B,A,B,B,D,D,C,C,B,A,B,C,C,D,D,C,A,C,C,C,B,A,A,D,A,C,D,C,B,D,D,A,B,D,D,C,C,C,A,B,D,D,A,D,B,A,D,C,A,B
101,C,C,A,D,D,A,B,A,B,A,D,A,C,B,D,B,A,D,A,B,B,A,D,A,C,B,D,B,B,A,C,A,D,A,B,D,D,A,B,D,A,A,B,C,B,D,A,B,A,C,B,B,A,C,A,B,B
102,D,C,D,B,C,D,B,B,A,C,B,B,A,D,A,C,B,C,A,C,A,C,B,A,D,B,B,A,C,B,B,C,D,A,C,D,D,C,D,B,A,B,D,D,D,A,C,B,D,B,D,B,B,A,D,B,B
103,D,D,B,B,A,D,A,D,A,A,B,B,D,C,C,D,C,C,A,D,A,A,C,A,C,A,D,A,A,A,B,C,A,A,C,C,B,A,D,B,D,A,A,C,C,B,A,C,D,D,D,C,D,A,C,C,D
104,A,A,A,B,C,C,A,C,C,B,D,D,D,B,A,C,B,C,D,D,C,D,C,D,A,A,B,A,D,C,A,D,C,C,B,D,C,A,C,C,B,C,A,D,D,A,A,B,A,A,A,B,A,A,D,B,A
105,D,D,D,A,A,C,D,D,C,B,D,D,C,A,A,A,C,A,C,B,B,C,B,A,B,B,A,D,C,C,A,C,C,D,C,C,D,B,B,D,D,B,C,B,B,C,C,C,B,A,C,A,A,C,A,D,D
106,B,B,B,B,A,A,B,A,A,C,D,B,C,C,A,C,B,C,D,A,C,C,C,C,B,D,C,A,C,C,A,D,B,A,D,B,B,D,C,A,D,B,C,A,A,A,C,C,C,B,C,D,C,D,D,A,D
107,C,C,A,B,D,B,B,C,D,A,C,B,B,D,D,D,D,C,A,B,D,D,B,B,D,C,D,A,D,C,B,D,B,A,D,D,B,C,B,A,A,A,B,A,A,A,A,B,A,A,B,A,D,D,D,B,D
108,C,B,B,B,D,C,C,D,C,A,D,B,A,A,B,B,A,B,B,A,C,D,B,C,D,A,B,D,D,C,A,B,D,A,C,C,D,B,D,A,D,C,C,B,C,C,C,C,B,A,C,B,B,C,B,D,C
109,A,B,C,C,A,C,D,B,D,C,B,B,C,C,D,B,C,A,B,C,B,A,C,B,B,D,B,B,C,D,A,D,B,A,C,B,D,C,D,C,B,C,B,C,C,A,A,D,D,A,B,A,C,D,C,A,D
110,C,B,C,A,A,A,A,D,B,D,D,A,D,A,A,C,B,A,C,C,B,D,C,D,D,A,B,B,B,D,C,D,A,C,D,A,D,C,C,B,C,D,C,B,A,C,D,B,D,B,C,A,D,B,C,A,D
111,D,B,D,D,D,B,A,C,B,C,D,D,D,C,A,B,A,D,C,D,C,C,C,C,B,D,B,B,C,C,D,D,C,C,C,A,A,D,B,D,B,D,B,A,A,C,C,B,B,A,A,C,D,D,B,B,A
112,D,C,C,A,C,B,C,D,C,A,D,C,A,C,C,D,B,B,D,C,C,D,B,A,B,D,A,C,A,C,C,A,B,D,B,D,A,D,B,B,D,C,B,A,D,D,B,B,C,B,D,A,C,C,A,A,D
113,B,D,D,A,C,D,D,D,D,D,B,B,C,C,C,B,C,D,D,B,C,D,A,C,B,B,D,A,D,C,D,C,C,D,A,A,A,D,D,A,C,C,A,A,B,B,A,D,B,A,A,B,B,B,C,C,A
114,D,C,B,C,C,D,A,D,A,D,A,D,B,A,A,A,B,A,B,D,C,B,B,A,C,C,A,B,D,A,C,B,A,D,A,B,A,C,A,A,A,B,B,B,C,B,B,A,A,A,A,D,B,B,D,C,A
115,C,D,B,B,B,D,C,D,C,D,C,C,A,B,D,D,B,A,D,A,C,B,B,A,B,B,B,A,C,C,B,B,C,B,B,D,C,B,C,D,C,B,B,C,B,D,B,B,A,A,A,C,B,D,A,B,B
116,D,D,A,C,A,D,C,C,D,B,D,A,B,A,D,C,B,B,C,C,B,C,D,B,D,C,A,D,B,B,D,B,A,B,D,A,C,B,D,A,C,B,A,C,B,D,D,B,D,A,A,D,C,C,A,C,A
117,C,C,D,C,B,C,C,B,D,B,C,B,C,A,D,C,A,D,A,C,C,B,B,A,D,C,A,B,B,A,D,A,B,B,A,C,B,C,A,D,D,A,C,C,B,B,D,A,A,B,C,D,B,A,B,D,B
